;Website;General rating;Title;Company;Company_type;Company_sector;Country;City;Summary;Date;Job_id;Job_url
138;linkedin;1;Data scientist;POSITIVE THINKING COMPANY;Startup (1-10 employees);recruitment, executive search, careers consulting, outplacement services, technology, finance, support and administration;BELGIUM;Brussels;;28 day ago;2711120954;https://be.linkedin.com/jobs/view/data-scientist-at-positive-thinking-company-2711120954?refId=CyVS1PswljJpH9mdEjRa1Q%3D%3D&trackingId=rTp1ZbjdQHmF6N%2FQXzDwfw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
139;linkedin;1;Data Scientist;BRUSSELS AIRPORT COMPANY;Small-sized Enterprise (11-50 employees);relaxation, stress management, Burnout Prevention, Yoga Classes, Sophrology Classes, Meditation Classes, Brief Therapies, Training Programs;BELGIUM;Brussels;;6 day ago;2625852741;https://be.linkedin.com/jobs/view/data-scientist-at-brussels-airport-company-2625852741?refId=CyVS1PswljJpH9mdEjRa1Q%3D%3D&trackingId=EyAivmOb%2B5Kz2EpjBTfoXQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
140;linkedin;1;Data Scientist;GAZELLE GLOBAL;Startup (1-10 employees);City bicycles, Electric bicycles;NETHERLANDS;Amsterdam;;<1 day ago;2742634332;https://nl.linkedin.com/jobs/view/data-scientist-at-gazelle-global-2742634332?refId=hPO6qy4mazidZvIA89OX1Q%3D%3D&trackingId=W2HedKVu%2BnRc2WXJB6dXrQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
141;indeed;1;Full Stack Data Scientist;CLOUDFLIGHT;Small-sized Enterprise (11-50 employees);Unknown;NETHERLANDS;Amsterdam;Design and implement tailor-made Machine Learning solutions specific to our customers – from a first PoC and MVP to fully scalable applications operated in…;30 day ago;4460d278a25ad495;https://nl.indeed.com/jobs?q=Data%20Scientist&l=Amsterdam&radius=10&start=10&lang=en&vjk=4460d278a25ad495
142;linkedin;1;Data Scientist;JOBS VIA EFINANCIALCAREERS;Intermediate-sized Enterprise (251-5000 employees);Unknown;LUXEMBOURG;Luxembourg;;28 day ago;2711453932;https://lu.linkedin.com/jobs/view/data-scientist-at-jobs-via-efinancialcareers-2711453932?refId=to5kHmeUXgO0iSlk%2FDGCaA%3D%3D&trackingId=GMD1str8W7LrlfH%2BSIHeLw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
143;indeed;1;Data Management Functional Analyst - Customer Journey Expert;ING;Large Enterprise (+5000 employees);Banking, Personal Banking, Wholesale Banking, FinTech, Retail Banking, Online Banking, Private banking, Mobile banking, Mobile payments, Innovation, agile, blockchain, Sustainability;BELGIUM;Brussel;Broad knowledge and deep practical experience with data quality, data lineage, data security, data privacy, data lifecycle management, data issue remediation…;21 day ago;2a59826928663d54;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=40&lang=en&vjk=2a59826928663d54
144;indeed;1;Data / BI Analyst;GENTIS RECRUITMENT;Large Enterprise (+5000 employees);Recruitment, Staffing, Headhunting, Interim Management, IT, Engineering, Life Sciences, Oil & Gas, Freelance, Permanent, Construction, Supply Chain, Finance, Technical Sales, Digital Marketing, consulting;BELGIUM;Brussel;Collect data and understand which data is needed for the solution. Support business in defining their needs in data analytics and data science.;30 day ago;c5549452ef2a3a78;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=30&lang=en&vjk=c5549452ef2a3a78
145;indeed;1;Data scientist ( With test automation);SPARAGUS;Small-sized Enterprise (11-50 employees);Contract Recruitment, Permanent and Temp to Permanent Contract, Onsite Recruitment;BELGIUM;Brussel;"This cannot be just a random test automation engineer; in-depth data science knowledge is also a must. Data science with test automation.";30 day ago;263e28720e6d1a20;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=30&lang=en&vjk=263e28720e6d1a20
146;indeed;1;Sr. Business Analyst - Data Analyst;CARREFOUR;Large Enterprise (+5000 employees);Retail;BELGIUM;Evere;Perform exploratory data analysis and develop the datamarts. Understanding of data visualization best practices and concepts is a plus.;25 day ago;36f10f628b0f4186;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=30&lang=en&vjk=36f10f628b0f4186
147;indeed;1;Insight Finder (Data Scientist);UCB S.A.;Unknown;Unknown;BELGIUM;Anderlecht;"Facilitating to connect the dot with financial / non-financial, structured / unstructured data and internal / external data;";30 day ago;ffc82660e2bf9427;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=30&lang=en&vjk=ffc82660e2bf9427
148;indeed;1;Security Business Data & Reporting Analyst;EUROCLEAR;Large Enterprise (+5000 employees);Financial services, Asset servicing, Collateral Management, Issuer services, Settlement, Fund services, Triparty repo, Capital Markets, Market infrastructures, Innovation, Blockchain, Securities, T2S, Target2 Securities, Connectivity, Automation, Reference Data, Liquidity Data, ETFs, FMI;BELGIUM;Brussel;Knowledge of and a passion for data modelling, data warehousing & reporting. As part of a the Operational Metrics Platform project team, you will contribute to…;30 day ago;ccc9a7a05c9e9432;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=30&lang=en&vjk=ccc9a7a05c9e9432
149;indeed;1;Data business analyst;BPOST;Large Enterprise (+5000 employees);letters, parcels, express shipments, secure electronic delivery, domestic mail, international mail, e-services, electronic invoices, stamps, franking machines, direct mail, document management, e-certificates, Document Delivery Services, Digital Mailroom;BELGIUM;Brussel;Your data knowledge and business analysis experience will allow you to translate business requirements into technology, user stories, user data...;30 day ago;cd27b253dafde8e0;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=20&lang=en&vjk=cd27b253dafde8e0
